id,type
0,1
1,1
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,0
